CODE_IRIS,LIB_IRIS,TYP_IRIS,DEPCOM,LIBCOM
742870000,Vailly (commune non irisée),Z,74287,Vailly
742880000,Valleiry (commune non irisée),Z,74288,Valleiry
742890000,Vallières-sur-Fier (commune non irisée),Z,74289,Vallières-sur-Fier
742900000,Vallorcine (commune non irisée),Z,74290,Vallorcine
742910000,Vanzy (commune non irisée),Z,74291,Vanzy
742920000,Vaulx (commune non irisée),Z,74292,Vaulx
742930000,Veigy-Foncenex (commune non irisée),Z,74293,Veigy-Foncenex
742940000,Verchaix (commune non irisée),Z,74294,Verchaix
742950000,La Vernaz (commune non irisée),Z,74295,La Vernaz
742960000,Vers (commune non irisée),Z,74296,Vers
742970000,Versonnex (commune non irisée),Z,74297,Versonnex
742980101,Nord,H,74298,Vétraz-Monthoux
742980102,Sud,H,74298,Vétraz-Monthoux
742990000,Veyrier-du-Lac (commune non irisée),Z,74299,Veyrier-du-Lac
743010000,Villard (commune non irisée),Z,74301,Villard
743020000,Les Villards-sur-Thônes (commune non irisée),Z,74302,Les Villards-sur-Thônes
743030000,Villaz (commune non irisée),Z,74303,Villaz
743040000,Ville-en-Sallaz (commune non irisée),Z,74304,Ville-en-Sallaz
743050101,Ouest,H,74305,Ville-la-Grand
743050102,Est,H,74305,Ville-la-Grand
743050103,Sud,H,74305,Ville-la-Grand
743060000,Villy-le-Bouveret (commune non irisée),Z,74306,Villy-le-Bouveret
743070000,Villy-le-Pelloux (commune non irisée),Z,74307,Villy-le-Pelloux
743080000,Vinzier (commune non irisée),Z,74308,Vinzier
743090000,Viry (commune non irisée),Z,74309,Viry
743100000,Viuz-la-Chiésaz (commune non irisée),Z,74310,Viuz-la-Chiésaz
743110000,Viuz-en-Sallaz (commune non irisée),Z,74311,Viuz-en-Sallaz
743120000,Vougy (commune non irisée),Z,74312,Vougy
743130000,Vovray-en-Bornes (commune non irisée),Z,74313,Vovray-en-Bornes
743140000,Vulbens (commune non irisée),Z,74314,Vulbens
743150000,Yvoire (commune non irisée),Z,74315,Yvoire
